#
# Andromeda
#
Pyx Alpha,Pyx Gamma
#
# Reticulum
#
Ret Beta,Ret Alpha
Ret Alpha,Ret Epsilon
Ret Epsilon,Ret Iota
Ret Iota,Ret Delta
Ret Delta,Ret Beta
#
# Sagitta
#
Sge Eta-16,Sge Gamma-12
Sge Gamma-12,Sge Delta-7
Sge Delta-7,Sge Beta-6
Sge Delta-7,Sge Alpha-5
#
# Sagitarrius
#
#   Head
Sgr Upsilo-46,Sgr Rho1-44
Sgr Rho1-44,Sgr Pi-41
Sgr Pi-41,Sgr Xi2-37
Sgr Xi2-37,Sgr Sigma-34
Sgr Sigma-34,Sgr Pi-41
#   Body
Sgr Tau-40,Sgr Zeta-38
Sgr Zeta-38,Sgr Phi-27
Sgr Phi-27,Sgr Sigma-34
Sgr Sigma-34,Sgr Tau-40
Sgr Tau-40,Sgr Theta1
Sgr Theta1,Sgr Iota
Sgr Theta1,Sgr Alpha
Sgr Alpha,Sgr Beta1
Sgr Alpha,Sgr Zeta-38
#   Bow
#
Sgr Phi-27,Sgr Delta-19
Sgr Delta-19,Sgr Gamma2-10
Sgr Delta-19,Sgr Lambda-22
Sgr Lambda-22,Sgr Mu-13
Sgr Mu-13,Sgr Gamma2-10
Sgr Gamma2-10,Sgr Eta
Kaus Australis,Sgr Eta
Sgr Delta-19,Kaus Australis
#
# Scorpius
#
#   Claws
Sco Delta-7,Sco Beta1-8
Sco Beta1-8,Sco Nu-14
Sco Nu-14,Sco Sigma-20
Sco Sigma-20,Sco 13
Sco 13,Sco Rho-5
#
Sco Sigma-20,Antares
Antares,Sco Tau-23
